Wall time,Step,Value
1775829137.322094,10000,-65625832.0
1775829142.8146107,20000,-65443888.0
1775829148.2734568,30000,-65752044.0
1775829207.5615542,40000,-65250440.0
1775829213.0762599,50000,-65481932.0
1775829218.5635967,60000,-65107404.0
1775829275.7020109,70000,-64769072.0
1775829281.382881,80000,-63284128.0
1775829286.8392756,90000,-63999308.0
1775829344.9704678,100000,-61734608.0
1775829351.8600955,110000,-62633680.0
1775829357.360536,120000,-62314500.0
1775829362.8604665,130000,-62394812.0
1775829418.6547291,140000,-59197804.0
1775829424.3003433,150000,-59615044.0
1775829429.7440734,160000,-59295900.0
1775829491.805282,170000,-58411132.0
1775829497.2951872,180000,-58246956.0
1775829502.814544,190000,-58374848.0
1775829560.363893,200000,-58094872.0
1775829570.1553376,210000,-58052268.0
1775829575.6145985,220000,-58106660.0
1775829634.4134352,230000,-58209408.0
1775829639.8040283,240000,-58208948.0
1775829645.275817,250000,-58175544.0
1775829650.6770878,260000,-58110192.0
1775829710.0907884,270000,-58184332.0
1775829715.5218658,280000,-58201076.0
1775829720.8831885,290000,-58181740.0
1775829777.8337753,300000,-58120824.0
1775829787.049924,310000,-58091916.0
1775829792.3046525,320000,-58081864.0
1775829849.0877876,330000,-58141504.0
1775829854.4257216,340000,-58239136.0
1775829859.6847055,350000,-58130352.0
1775829864.9288065,360000,-58119064.0
1775829925.445563,370000,-58207276.0
1775829931.2297258,380000,-58237312.0
1775829936.676606,390000,-58180844.0
1775829993.5361009,400000,-58075452.0
1775830002.8236063,410000,-58128952.0
1775830008.426142,420000,-58164668.0
1775830064.9736445,430000,-58147032.0
1775830070.2085695,440000,-58173148.0
1775830075.4466114,450000,-58149324.0
1775830131.1985917,460000,-58153564.0
1775830136.6060634,470000,-58171112.0
1775830141.9483423,480000,-58152348.0
1775830147.3289247,490000,-58136280.0
1775830206.7421916,500000,-58212480.0
1775830216.0190797,510000,-58162136.0
1775830221.5884683,520000,-58125800.0
1775830280.102948,530000,-58133028.0
1775830285.4497266,540000,-58167280.0
1775830290.7262566,550000,-58215752.0
1775830347.687098,560000,-58167788.0
1775830353.0515504,570000,-58153772.0
1775830358.5908477,580000,-58129744.0
1775830418.765885,590000,-58174320.0
1775830424.0446057,600000,-58116240.0
1775830433.834773,610000,-58191892.0
1775830439.3810933,620000,-58101740.0
1775830496.4234388,630000,-58130400.0
1775830501.759314,640000,-58094844.0
1775830507.085494,650000,-58171936.0
1775830567.058774,660000,-58095852.0
1775830572.6230657,670000,-58099988.0
1775830578.038412,680000,-58040124.0
1775830637.8560832,690000,-58040812.0
1775830643.2185435,700000,-58042700.0
1775830653.8471594,710000,-58029504.0
1775830659.314283,720000,-58045536.0
1775830721.014287,730000,-58250500.0
1775830726.6508453,740000,-58006676.0
1775830732.2562673,750000,-58003236.0
1775830791.7593746,760000,-58320112.0
1775830797.3728945,770000,-58278160.0
1775830802.7744653,780000,-58432220.0
1775830862.8172066,790000,-58679792.0
1775830868.440729,800000,-58614984.0
1775830878.0630746,810000,-58580188.0
1775830937.1773288,820000,-58143168.0
1775830942.884015,830000,-58068236.0
1775830948.614114,840000,-58222028.0
1775830954.0967548,850000,-58096864.0
1775831022.388227,860000,-57963312.0
1775831027.9219716,870000,-57981848.0
1775831033.3633175,880000,-58043136.0
1775831092.533855,890000,-58277704.0
1775831097.8848312,900000,-57947952.0
1775831109.1687648,910000,-58041884.0
1775831176.4113533,920000,-57945784.0
1775831182.4155283,930000,-58004732.0
1775831188.9514256,940000,-58031572.0
1775831195.2569456,950000,-58082628.0
1775831267.0436354,960000,-57889880.0
1775831273.2824605,970000,-57888948.0
1775831279.0447237,980000,-57914196.0
1775831339.585092,990000,-57873532.0
1775831344.8364406,1000000,-57911172.0
1775831356.9591305,1010000,-57849872.0
