Wall time,Step,Value
1775829133.0856469,10000,-54080544.0
1775829138.337784,20000,-54042776.0
1775829143.7040854,30000,-54317196.0
1775829198.6811085,40000,-53983088.0
1775829203.9406137,50000,-54266412.0
1775829209.175117,60000,-53555808.0
1775829265.5306532,70000,-54311044.0
1775829270.7983835,80000,-54030432.0
1775829276.01542,90000,-53707424.0
1775829331.9569356,100000,-52678460.0
1775829338.540189,110000,-52581860.0
1775829343.8359268,120000,-52379796.0
1775829349.1832829,130000,-52309524.0
1775829404.5489147,140000,-50991852.0
1775829409.858554,150000,-50682668.0
1775829415.2890003,160000,-50607560.0
1775829471.2774467,170000,-49982680.0
1775829476.8046227,180000,-50300300.0
1775829482.2908263,190000,-50116504.0
1775829539.8999941,200000,-49575604.0
1775829550.1628468,210000,-49864912.0
1775829555.4390392,220000,-49674976.0
1775829616.0539503,230000,-50666640.0
1775829621.578611,240000,-50611928.0
1775829627.5453289,250000,-50657028.0
1775829633.0572352,260000,-50520728.0
1775829694.9597585,270000,-49532896.0
1775829701.0700426,280000,-49722052.0
1775829706.9894044,290000,-49584796.0
1775829773.030008,300000,-50074820.0
1775829782.4350743,310000,-50147944.0
1775829787.8177483,320000,-49909724.0
1775829848.6250849,330000,-50073492.0
1775829853.9753637,340000,-49786176.0
1775829859.5286467,350000,-49746140.0
1775829864.8356292,360000,-49893556.0
1775829922.0149906,370000,-50144096.0
1775829927.3340244,380000,-50304256.0
1775829932.62265,390000,-50216488.0
1775829988.6261194,400000,-49617200.0
1775829998.0892978,410000,-49652176.0
1775830003.5454903,420000,-49685836.0
1775830062.156437,430000,-50050720.0
1775830067.4930468,440000,-49856512.0
1775830072.7371435,450000,-49987116.0
1775830129.8384058,460000,-49125640.0
1775830135.1683831,470000,-49236408.0
1775830140.4990742,480000,-49369212.0
1775830146.0651445,490000,-49256936.0
1775830202.20219,500000,-49027004.0
1775830212.8364596,510000,-48999440.0
1775830218.3044262,520000,-48927876.0
1775830274.5031888,530000,-49546444.0
1775830279.7555285,540000,-49622028.0
1775830284.9610488,550000,-49571216.0
1775830340.6429164,560000,-49977392.0
1775830345.9446194,570000,-50043592.0
